 Rel. error || Time (s) || Iterations || Stop info || Tensor order || Dimensions || Rank || Optimizer ||
 1.356e+00 || 0.15 || 10 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.417e+00 || 0.17 || 10 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.379e+00 || 0.16 || 10 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 2.670e+00 || 0.34 || 47 || 2 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.618e-12 || 0.17 || 10 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 3.484e-13 || 0.14 || 10 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 2.821e+00 || 1.06 || 211 || 2 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.321e+00 || 0.16 || 12 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 4.762e-11 || 0.14 || 8 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.351e+00 || 0.15 || 9 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.381e+00 || 0.16 || 10 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.403e+00 || 0.16 || 11 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.414e+00 || 0.15 || 12 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 5.508e+00 || 0.63 || 103 || 2 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.409e+00 || 0.15 || 8 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.401e+00 || 0.17 || 9 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 7.724e+00 || 0.39 || 63 || 2 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.409e+00 || 0.15 || 9 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.414e+00 || 0.17 || 11 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.307e+00 || 0.16 || 15 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.342e+00 || 0.16 || 9 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.410e+00 || 0.18 || 17 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 3.557e-14 || 0.16 || 12 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.405e+00 || 0.15 || 12 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.404e+00 || 0.18 || 16 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.363e+00 || 0.15 || 8 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.233e+00 || 0.15 || 9 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 7.727e+00 || 1.00 || 186 || 2 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.413e+00 || 0.16 || 9 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.403e+00 || 0.18 || 13 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.251e+00 || 0.15 || 8 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.464e+00 || 0.17 || 9 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.415e+00 || 0.15 || 9 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.655e-13 || 0.17 || 17 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.413e+00 || 0.16 || 12 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 2.029e+00 || 0.42 || 64 || 2 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 2.614e-15 || 0.17 || 10 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.253e+00 || 0.15 || 13 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 1.448e+00 || 0.15 || 11 || 4 || 3 ||8x8x8x || 1 || 100 || ls-cpd/nls_gndl
 2.941e+00 || 1.42 || 131 || 2 || 3 ||8x8x8x || 2 || 100 || ls-cpd/nls_gndl
 7.271e+00 || 3.04 || 300 || 3 || 3 ||8x8x8x || 2 || 100 || ls-cpd/nls_gndl
 1.817e+00 || 3.08 || 300 || 3 || 3 ||8x8x8x || 2 || 100 || ls-cpd/nls_gndl
 1.426e+00 || 0.57 || 47 || 4 || 3 ||8x8x8x || 2 || 100 || ls-cpd/nls_gndl
 1.490e+00 || 1.12 || 101 || 2 || 3 ||8x8x8x || 2 || 100 || ls-cpd/nls_gndl
 1.059e+00 || 0.26 || 13 || 4 || 3 ||8x8x8x || 2 || 100 || ls-cpd/nls_gndl
 1.391e+00 || 0.25 || 13 || 4 || 3 ||8x8x8x || 2 || 100 || ls-cpd/nls_gndl
 5.320e+00 || 3.01 || 300 || 3 || 3 ||8x8x8x || 2 || 100 || ls-cpd/nls_gndl
 3.100e+00 || 0.68 || 55 || 2 || 3 ||8x8x8x || 2 || 100 || ls-cpd/nls_gndl
 1.293e+00 || 3.02 || 289 || 2 || 3 ||8x8x8x || 2 || 100 || ls-cpd/nls_gndl
 1.142e+00 || 0.63 || 54 || 4 || 3 ||8x8x8x || 2 || 100 || ls-cpd/nls_gndl
 2.068e+00 || 3.08 || 300 || 3 || 3 ||8x8x8x || 2 || 100 || ls-cpd/nls_gndl
 7.255e+00 || 3.01 || 300 || 3 || 3 ||8x8x8x || 2 || 100 || ls-cpd/nls_gndl
 1.394e+00 || 0.74 || 66 || 4 || 3 ||8x8x8x || 2 || 100 || ls-cpd/nls_gndl
 4.186e-01 || 0.89 || 79 || 4 || 3 ||8x8x8x || 2 || 100 || ls-cpd/nls_gndl
 1.412e+00 || 0.44 || 32 || 4 || 3 ||8x8x8x || 2 || 100 || ls-cpd/nls_gndl
 1.336e+00 || 0.42 || 30 || 4 || 3 ||8x8x8x || 2 || 100 || ls-cpd/nls_gndl
 1.480e+00 || 0.50 || 37 || 2 || 3 ||8x8x8x || 2 || 100 || ls-cpd/nls_gndl
 1.445e+00 || 0.77 || 67 || 2 || 3 ||8x8x8x || 2 || 100 || ls-cpd/nls_gndl
 1.402e+00 || 0.52 || 41 || 4 || 3 ||8x8x8x || 2 || 100 || ls-cpd/nls_gndl
 6.565e-01 || 0.74 || 58 || 4 || 3 ||8x8x8x || 2 || 100 || ls-cpd/nls_gndl
 4.616e-01 || 0.49 || 37 || 4 || 3 ||8x8x8x || 2 || 100 || ls-cpd/nls_gndl
 1.406e+00 || 0.42 || 30 || 4 || 3 ||8x8x8x || 2 || 100 || ls-cpd/nls_gndl
 1.416e+00 || 1.11 || 101 || 4 || 3 ||8x8x8x || 2 || 100 || ls-cpd/nls_gndl
 2.774e+00 || 3.03 || 300 || 3 || 3 ||8x8x8x || 2 || 100 || ls-cpd/nls_gndl
 1.328e+00 || 0.38 || 28 || 4 || 3 ||8x8x8x || 2 || 100 || ls-cpd/nls_gndl
 1.421e+00 || 0.26 || 16 || 4 || 3 ||8x8x8x || 2 || 100 || ls-cpd/nls_gndl
 1.476e+00 || 2.99 || 300 || 3 || 3 ||8x8x8x || 2 || 100 || ls-cpd/nls_gndl
 1.394e+00 || 1.04 || 20 || 4 || 3 ||8x8x8x || 2 || 1000 || ls-cpd/nls_gndl
 8.724e+00 || 5.02 || 300 || 3 || 3 ||8x8x8x || 2 || 1000 || ls-cpd/nls_gndl
 1.384e+00 || 1.02 || 20 || 4 || 3 ||8x8x8x || 2 || 1000 || ls-cpd/nls_gndl
 7.045e-01 || 1.03 || 21 || 4 || 3 ||8x8x8x || 2 || 1000 || ls-cpd/nls_gndl
 1.365e+00 || 0.95 || 15 || 4 || 3 ||8x8x8x || 2 || 1000 || ls-cpd/nls_gndl
 1.470e+00 || 0.96 || 15 || 4 || 3 ||8x8x8x || 2 || 1000 || ls-cpd/nls_gndl
 5.966e-01 || 1.00 || 17 || 4 || 3 ||8x8x8x || 2 || 1000 || ls-cpd/nls_gndl
 1.841e+00 || 1.23 || 31 || 2 || 3 ||8x8x8x || 2 || 1000 || ls-cpd/nls_gndl
 2.885e+00 || 5.03 || 300 || 3 || 3 ||8x8x8x || 2 || 1000 || ls-cpd/nls_gndl
 1.398e+00 || 0.93 || 14 || 4 || 3 ||8x8x8x || 2 || 1000 || ls-cpd/nls_gndl
 1.276e+00 || 5.07 || 300 || 3 || 3 ||8x8x8x || 2 || 1000 || ls-cpd/nls_gndl
 1.371e+00 || 0.96 || 16 || 4 || 3 ||8x8x8x || 2 || 1000 || ls-cpd/nls_gndl
 1.037e+00 || 1.96 || 83 || 2 || 3 ||8x8x8x || 2 || 1000 || ls-cpd/nls_gndl
 1.418e+00 || 0.90 || 11 || 4 || 3 ||8x8x8x || 2 || 1000 || ls-cpd/nls_gndl
 1.398e+00 || 0.93 || 12 || 4 || 3 ||8x8x8x || 2 || 1000 || ls-cpd/nls_gndl
 1.316e+00 || 0.92 || 12 || 4 || 3 ||8x8x8x || 2 || 1000 || ls-cpd/nls_gndl
 1.989e+00 || 1.79 || 69 || 2 || 3 ||8x8x8x || 2 || 1000 || ls-cpd/nls_gndl
 9.814e-01 || 1.49 || 50 || 4 || 3 ||8x8x8x || 2 || 1000 || ls-cpd/nls_gndl
 1.413e+00 || 1.35 || 41 || 4 || 3 ||8x8x8x || 2 || 1000 || ls-cpd/nls_gndl
 5.836e-01 || 0.97 || 15 || 4 || 3 ||8x8x8x || 2 || 1000 || ls-cpd/nls_gndl
 5.554e+00 || 5.10 || 300 || 3 || 3 ||8x8x8x || 2 || 1000 || ls-cpd/nls_gndl
 1.304e+00 || 2.69 || 137 || 2 || 3 ||8x8x8x || 2 || 1000 || ls-cpd/nls_gndl
 2.374e+00 || 1.37 || 40 || 2 || 3 ||8x8x8x || 2 || 1000 || ls-cpd/nls_gndl
 1.373e+00 || 1.06 || 23 || 4 || 3 ||8x8x8x || 2 || 1000 || ls-cpd/nls_gndl
 1.359e+00 || 0.91 || 12 || 4 || 3 ||8x8x8x || 2 || 1000 || ls-cpd/nls_gndl
 7.680e+00 || 5.06 || 300 || 3 || 3 ||8x8x8x || 2 || 1000 || ls-cpd/nls_gndl
 1.420e+00 || 6.37 || 14 || 4 || 4 ||8x8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.417e+00 || 6.25 || 16 || 4 || 4 ||8x8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.422e+00 || 6.19 || 9 || 4 || 4 ||8x8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.403e+00 || 6.20 || 10 || 4 || 4 ||8x8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
 1.416e+00 || 6.19 || 13 || 4 || 4 ||8x8x8x8x || 1 || 1000 || ls-cpd/nls_gndl
